hour,price
901,455.59
902,465.55
903,484.57
904,514.24
905,593.29
906,632.23
907,504.78
908,406.7
909,396.55
910,354.16
911,324.39
912,331.24
913,325.82
914,322.67
915,321.29
916,329.17
917,343.07
918,399.15
919,563.54
920,531.31
921,461.04
922,449.02
923,395.21
924,355.78
925,353.91
926,346.32
927,343.86
928,354.01
929,400.33
930,386.73
931,346.22
932,332.13
933,323.75
934,313.6
935,305.03
936,306.91
937,303.35
938,299.98
939,300.87
940,302.76
941,311.07
942,316.51
943,331.36
944,336.21
945,335.71
946,332.94
947,327.8
948,323.24
949,319.78
950,318.99
951,318.1
952,325.52
953,336.5
954,335.42
955,325.91
956,317.11
957,315.62
958,312.36
959,308.5
960,314.12
961,311.53
962,309.44
963,310.33
964,313.12
965,316.81
966,316.81
967,312.92
968,317.01
969,324.08
970,330.85
971,329.16
972,323.28
973,321.09
974,318.7
975,322.39
976,330.16
977,354.27
978,347.79
979,327.77
980,319.8
981,318.1
982,314.22
983,298.97
984,293.73
985,290.85
986,287.48
987,285.99
988,286.49
989,285.5
990,286.98
991,288.17
992,291.15
993,294.22
994,296.5
995,297.5
996,295.81
997,294.62
998,293.63
999,297.59
1000,301.06
1001,305.63
1002,310.88
1003,307.71
1004,300.47
1005,296.6
1006,293.83
1007,288.17
1008,286.59
1009,283.31
1010,277.76
1011,285.69
1012,286.59
1013,291.25
1014,302.85
1015,315.74
1016,320.3
1017,319.01
1018,318.52
1019,315.94
1020,313.16
1021,313.16
1022,313.26
1023,315.05
1024,322.48
1025,349.26
1026,354.81
1027,336.96
1028,321.69
1029,316.53
1030,308.4
1031,307.01
1032,305.44
1033,303.25
1034,302.56
1035,305.34
1036,308.31
1037,324.19
1038,368.03
1039,451.26
1040,470.7
1041,460.39
1042,422.59
1043,367.83
1044,342.24
1045,337.88
1046,356.62
1047,360.29
1048,392.14
1049,492.43
1050,522.19
1051,383.61
1052,332.82
1053,328.35
1054,319.72
1055,309.31
1056,318.37
1057,314.9
1058,313.01
1059,313.7
1060,322.05
1061,333.96
1062,347.37
1063,391.86
1064,391.46
1065,390.27
1066,388.88
1067,365.64
1068,349.06
1069,338.83
1070,336.94
1071,336.15
1072,341.51
1073,362.07
1074,367.93
1075,337.44
1076,325.52
1077,323.83
1078,309.73
1079,295.63
1080,298.71
1081,297.92
1082,298.02
1083,295.24
1084,298.41
1085,305.86
1086,311.52
1087,325.43
1088,338.24
1089,332.77
1090,326.22
1091,325.53
1092,325.13
1093,327.51
1094,329.4
1095,331.78
1096,335.55
1097,349.36
1098,358.49
1099,348.96
1100,336.85
1101,336.55
1102,327.81
1103,319.27
1104,317.56
1105,315.68
1106,314.89
1107,312.21
1108,316.97
1109,327.18
1110,346.69
1111,375.83
1112,398.71
1113,397.13
1114,391.78
1115,375.83
1116,346.2
1117,344.81
1118,341.05
1119,346.2
1120,353.04
1121,427.55
1122,486.01
1123,390.29
1124,354.82
1125,346
1126,332.62
1127,326.58
1128,343.81
1129,336.86
1130,336.86
1131,333.29
1132,333.39
1133,335.77
1134,343.01
1135,351.94
1136,365.92
1137,403.2
1138,442.28
1139,420.46
1140,403.01
1141,376.93
1142,356.7
1143,356.3
1144,381.98
1145,446.14
1146,493.54
1147,469.15
1148,386.45
1149,373.75
1150,355.51
1151,345.89
1152,345.07
1153,344.18
1154,335.88
1155,334.99
1156,334.39
1157,335.97
1158,331.23
1159,331.72
1160,338.35
1161,350.11
1162,353.37
1163,355.55
1164,343.09
1165,345.96
1166,339.83
1167,345.36
1168,358.21
1169,408.72
1170,469.02
1171,435.31
1172,395.38
1173,365.33
1174,349.52
1175,333.8
1176,333.8
1177,331.72
1178,333.9
1179,335.48
1180,346.65
1181,372.15
1182,467.83
1183,572.81
1184,605.72
1185,609.18
1186,589.81
1187,574.39
1188,536.14
1189,520.62
1190,522
1191,465.96
1192,491.75
1193,592.28
1194,670.56
1195,537.62
1196,428
1197,415.15
1198,376.8
1199,353.57
1200,369.29
1201,360.97
1202,357.3
1203,353.24
1204,366.12
1205,403.18
1206,467.58
1207,595.01
1208,613.53
1209,612.84
1210,593.42
1211,555.87
1212,528.92
1213,511.97
1214,502.36
1215,494.14
1216,497.9
1217,530.2
1218,613.44
1219,576.58
1220,465.01
1221,424.98
1222,404.66
1223,370.68
1224,373.55
1225,369.46
1226,366.77
1227,365.37
1228,372.25
1229,389.51
1230,455.22
1231,589.64
1232,620.06
1233,583.86
1234,560.13
1235,495.71
1236,457.22
1237,449.84
1238,444.55
1239,448.44
1240,472.77
1241,552.75
1242,587.65
1243,550.85
1244,479.95
1245,438.47
1246,397.78
1247,371.76
1248,390.93
1249,382.35
1250,378.75
1251,379.65
1252,389.73
1253,419.37
1254,498.32
1255,590.73
1256,678.36
1257,624.47
1258,577.96
1259,493.13
1260,458.3
1261,450.11
1262,451.11
1263,456
1264,497.02
1265,576.16
1266,613.29
1267,556.9
1268,457.4
1269,443.52
1270,423.56
1271,381.25
1272,385.74
1273,375.24
1274,372.34
1275,371.24
1276,375.34
1277,398.44
1278,483.53
1279,616.11
1280,630.21
1281,554.92
1282,540.92
1283,463.43
1284,427.64
1285,402.84
1286,394.34
1287,397.34
1288,443.23
1289,504.72
1290,539.62
1291,480.83
1292,418.04
1293,387.04
1294,377.74
1295,360.45
1296,377
1297,371.98
1298,370.98
1299,369.87
1300,371.38
1301,371.98
1302,377.4
1303,381.12
1304,381.82
1305,403.71
1306,415.46
1307,413.35
1308,390.25
1309,379.31
1310,370.98
1311,370.98
1312,379.41
1313,410.03
1314,434.83
1315,409.43
1316,390.15
1317,379.91
1318,375.19
1319,371.08
1320,377.88
1321,376.38
1322,373.37
1323,369.95
1324,369.05
1325,373.16
1326,377.58
1327,382.4
1328,385.61
1329,392.63
1330,394.64
1331,390.62
1332,386.31
1333,377.28
1334,368.65
1335,369.25
1336,375.97
1337,419.12
1338,461.16
1339,437.38
1340,400.76
1341,381.99
1342,379.69
1343,366.34
1344,361.53
1345,361.63
1346,361.63
1347,362.43
1348,368.75
1349,390.72
1350,467.89
1351,678.9
1352,648.9
1353,487.55
1354,464.77
1355,437.78
1356,421.03
1357,413.5
1358,413.9
1359,423.74
1360,451.53
1361,531.3
1362,577.46
1363,578.46
1364,469.69
1365,432.47
1366,401.36
1367,390.62
1368,399.13
1369,384.37
1370,378.14
1371,378.45
1372,388.59
1373,409.77
1374,432.67
1375,540.11
1376,507.87
1377,507.37
1378,460.38
1379,433.07
1380,426.14
1381,420.82
1382,424.43
1383,454.56
1384,472.03
1385,623.55
1386,722.45
1387,525.24
1388,460.38
1389,411.58
1390,388.79
1391,378.75
1392,382.76
1393,379.94
1394,379.94
1395,381.15
1396,383.56
1397,393.24
1398,453.3
1399,578.27
1400,712.21
1401,693.66
1402,685.7
1403,504.8
1404,453.2
1405,438.09
1406,432.24
1407,431.54
1408,453.1
1409,684.69
1410,734.78
1411,512.66
1412,452.6
1413,418.64
1414,390.22
1415,380.54
1416,398.8
1417,394.05
1418,391.83
1419,393.75
1420,399.6
1421,424.02
1422,627.36
1423,2017.39
1424,2573.41
1425,2068.66
1426,1943.93
1427,1328.08
1428,1089.63
1429,908.49
1430,590.83
1431,626.15
1432,682.45
1433,1207.39
1434,1547.35
1435,1008.49
1436,600.11
1437,516.15
1438,423.72
1439,394.46
1440,404.18
1441,392.56
1442,392.06
1443,393.88
1444,404.79
1445,408.52
1446,444.79
1447,685.02
1448,1202.74
1449,1206.89
1450,1010.4
1451,808.16
1452,611.98
1453,535.1
1454,470.65
1455,442.57
